id,label,department,level,salary,description,requirements,irregularity,roles,werkenbijlink,Care/non care,cluster,Link naar PIO werkenbij (ter bespreking)
1e kok + add coordinator -fwg40,1e kok + add coordinator ,patientenvoeding,Kok A+ add coordinator C,FWG 40,operationeel dagdagelijks verantwoordelijk voor de bedrijfsvoering,MBO 4,semi irregular,,geen,non care,patientenvoeding,
voedingsadministratie-fwg40,voedingsadministratie,patientenvoeding,vakman administratie f,FWG30,administratieve taken mbt voeding en bestellen,MBO 3,semi irregular,,geen,non care,patientenvoeding,
teamleider patiëntenvoeding-fwg55,teamleider,patientenvoeding,Teamleider B,FWG 55,eindverantwoordelijk voor de uitvoering en op strategisch niveau,HBO,regular,,geen,non care,patientenvoeding,
medewerker algemene schoonmaak-fwg15,medewerker algemene schoonmaak,schoonmaak,medewerker huishoudelijke dienst B1,FWG15,verantwoordelijk voor de dagelijkse schoonmaak,,semi irregular,,geen,non care,schoonmaak,
medewerker specialistische schoonmaak-fwg20,medewerker specialistische schoonmaak,schoonmaak,medewerker huishoudelijke dienst A1,FWG20,verantwoordelijk voor de desinfectie van kamers / bedden  / vloerreiniging/ glasbewassing en eind desinnfectie,,semi irregular,,geen,non care,schoonmaak,
medewerker linnenvoorziening-FWG20,medewerker linnenvoorziening,schoonmaak,medewerker huishoudelijke dienst A2,FWG20,verantwoordelijk voor alle linnen binnen het ziekenhuis bedlinnen en kleding,,regular,,geen,non care,schoonmaak,
coordinator meewerkend schoonmaak-fwg25,coordinator meewerkend schoonmaak,schoonmaak,medewerker huishoudelijke dienst A1+add coordinator F,FWG25,operationeel dagdagelijks verantwoordelijk voor de bedrijfsvoering,,semi irregular,,geen,non care,schoonmaak,
coordinator schoonmaak-fwg35,coordinator schoonmaak,schoonmaak,facilitair medewerker A + add coördinator D,FWG 35,operationeel dagdagelijks verantwoordelijk voor de bedrijfsvoering,MBO 3,semi irregular,,geen,non care,schoonmaak,
Strategisch teamleider schoonmaak-fwg55,Strategisch teamleider schoonmaak,schoonmaak,Teamleider B,FWG 55,eindverantwoordelijk voor de uitvoering en op strategisch niveau,HBO,regular,,geen,non care,schoonmaak,
Operationeel teamleider schoonmaak-fwg45,Operationeel teamleider schoonmaak,schoonmaak,Teamleider D,FWG45,operationeel eindverantwoordelijk voor de bedrijfsvoering,MBO 4,regular,,geen,non care,schoonmaak,
hoofd veiligheid en ontvangst-fwg65,hoofd veiligheid en ontvangst,Veiligheid & Ontvangst,hoofd,FWG65,Verantwoordelijk voor algehele aansturing veiligheid en ontvangst,HBO,regular,,geen,non care,Veiligheid & Ontvangst,
senior facilitair medewerker-fwg30,senior facilitair medewerker,patientenvoeding,facilitair medewerker A,FWG30,operationeel verantwoordelijk voor de bedrijfsvoering,MBO 3,semi irregular,,geen,non care,patientenvoeding,
hoofd hospitality-fwg75,hoofd hospitality,hospitality,hoofd,FWG75,Verantwoordelijk voor algehele aansturing hospitality,HBO,regular,,geen,non care,hospitality,
Medewerker patiëntenvervoer-fwg20,Medewerker patiëntenvervoer,hospitality,Medewerker logistiek E2,FWG20,Vervoeren van patiënten,,,,,non care,hospitality,
Teamleider patiëntenvervoer-fwg55,Teamleider patiëntenvervoer,hospitality,Teamleider B,FWG55,eindverantwoordelijk voor de uitvoering en op strategisch niveau,,regular,,,non care,hospitality,
,,,,,,,,,,,,
,,,,,,,,,,,,
Beleidsadviseur-fwg55,Beleidsadviseur,Hospitality,Beleidsadviseur D1,FWG55,"Schrijven beleidsdocumenten (Zenya), vormgeven en bewerken van protocollen, projecten voor de afdeling hospitality",HBO,regular,,geen,non care,hospitality,
Beleidsadviseur duurzaamheid-fwg60,Beleidsadviseur duurzaamheid,Fac Services alg,Beleidsadviseur C,FWG60,"Opzet programma duurzaamheid ETZ breed, beheer MPZ-certificering, green teams, uitrol groene initiatieven",HBO,regular,,,non care,Fac Services alg,
Projectleider-fwg55,Projectleider,Fac Services alg,Projectleider C,FWG55,"Duurzaamheids/ Facilitaire projecten uitrollen, ziekenhuisbreed",,regular,,,non care,Fac Services alg,
Stafmedewerker-fwg45,Stafmedewerker,Fac Services alg,Beleidsmedewerker F,FWG45,Ondersteunende facilitaire taken uitvoeren,,regular,,,non care,Fac Services alg,
Managementassistente-fwg45,Managementassistente,Fac Services alg,Secretaresse B,FWG45,"Plannen afspraken, agendabeheer, notuleren, administratieve taken",,regular,,,non care,Fac Services alg,
,,,,,,,,,,,,
Beleidsadviseur ZIROP-fwg60,Beleidsadviseur ZIROP,Veiligheid & Ontvangst,Beleidsadviseur C,FWG60,Adviseur Crisisbeheersing,,regular,,,non care,Veiligheid & Ontvangst,
Beleidsadviseur Bereikbaarheid-fwg60,Beleidsadviseur Bereikbaarheid,Veiligheid & Ontvangst,Beleidsadviseur C,FWG60,Adviseur Bereikbaarheid,,regular,,,non care,Veiligheid & Ontvangst,
Beleidsadviseur Beveiliging/Veiligheid-fwg55,Beleidsadviseur Beveiliging/Veiligheid,Veiligheid & Ontvangst,Beleidsadviseur D1,FWG55,Adviseur Beveiliging/Veiligheid,,regular,,,non care,Veiligheid & Ontvangst,
Coordinator BHV-fwg55,Coordinator BHV,Veiligheid & Ontvangst,Beleidsadviseur D1,FWG55,Coordinator BHV,,regular,,,non care,Veiligheid & Ontvangst,
